czname,gini96,rank_slope,abs_mob_p25
CZ-1275,0.5164,0.2504,0.4797
CZ-9068,0.4832,0.2235,0.2359
CZ-2228,0.4053,0.3455,0.57
CZ-8178,0.3972,0.2652,0.4986
CZ-8060,0.4089,0.3757,0.7647
CZ-6702,0.411,0.3192,0.3454
CZ-9012,0.3804,0.2501,0.4779
CZ-8988,0.2895,0.2639,0.7442
CZ-9593,0.2877,0.2019,0.6721
CZ-3282,0.5357,0.2826,0.3415
CZ-1383,0.3946,0.2733,0.5111
CZ-7314,0.536,0.0694,0.4251
CZ-1953,0.2991,0.2874,0.5582
CZ-4005,0.4163,0.223,0.3913
CZ-2742,0.3123,0.4524,0.5081
CZ-2060,0.326,0.186,0.3213
CZ-3408,0.259,0.227,0.5574
CZ-5544,0.2857,0.4231,0.584
CZ-3662,0.5251,0.371,0.4022
CZ-9574,0.3465,0.2565,0.3107
CZ-6900,0.4324,0.2397,0.587
CZ-4638,0.3895,0.3524,0.5302
CZ-7528,0.3701,0.1228,0.4074
CZ-3231,0.4096,0.1482,0.4443
CZ-2170,0.3062,0.3057,0.3413
CZ-5768,0.5466,0.38,0.2974
CZ-7487,0.4955,0.2365,0.3774
CZ-5748,0.4725,0.2863,0.599
CZ-9671,0.3906,0.3935,0.4092
CZ-2601,0.2959,0.4998,0.6026
CZ-2555,0.5262,0.216,0.3644
CZ-7392,0.3524,0.3129,0.5317
CZ-6643,0.265,0.4863,0.5217
CZ-7092,0.3527,0.1924,0.6066
CZ-2403,0.4883,0.3557,0.3807
CZ-6205,0.4368,0.2075,0.2778
CZ-5184,0.4753,0.2856,0.2846
CZ-8249,0.4881,0.2542,0.3812
CZ-4856,0.3136,0.2493,0.3684
CZ-7026,0.5271,0.1832,0.4778
CZ-2537,0.3814,0.3277,0.4339
CZ-7817,0.4417,0.3671,0.7494
CZ-5417,0.2507,0.3344,0.3362
CZ-7483,0.548,0.2612,0.4443
CZ-8297,0.3343,0.3654,0.3743
CZ-1354,0.2686,0.2617,0.478
CZ-9341,0.3875,0.3629,0.5042
CZ-1894,0.2887,0.3989,0.2497
CZ-1487,0.2957,0.5396,0.5542
CZ-8162,0.4397,0.258,0.6937
CZ-9112,0.3679,0.273,0.4411
CZ-3355,0.5266,0.3236,0.46
CZ-8288,0.3457,0.3818,0.6278
CZ-4655,0.4679,0.2368,0.4338
CZ-7441,0.3883,0.2712,0.4172
CZ-8002,0.448,0.3289,0.1888
CZ-7072,0.4299,0.2248,0.5464
CZ-7480,0.3918,0.2696,0.4718
CZ-3556,0.535,0.2667,0.3038
CZ-8672,0.3528,0.3938,0.517
CZ-3866,0.3032,0.2807,0.4526
CZ-5765,0.4534,0.1366,0.3961
CZ-3202,0.5038,0.1155,0.5112
CZ-4265,0.2621,0.2406,0.3793
CZ-4141,0.3849,0.1995,0.614
CZ-5115,0.5177,0.2523,0.2648
CZ-8603,0.4749,0.1824,0.371
CZ-3189,0.5475,0.1995,0.6508
CZ-7458,0.4094,0.2352,0.6133
CZ-5915,0.448,0.2504,0.4736
CZ-8682,0.3407,0.4236,0.394
CZ-4871,0.5343,0.3127,0.3621
CZ-2285,0.3599,0.3133,0.5076
CZ-5348,0.4716,0.2417,0.4565
CZ-6920,0.3709,0.2741,0.4833
CZ-2455,0.4185,0.3207,0.4705
CZ-2052,0.4659,0.327,0.4286
CZ-1930,0.4027,0.2266,0.3078
CZ-8353,0.5221,0.2663,0.3687
CZ-9189,0.3758,0.1447,0.6019
CZ-8600,0.4441,0.3037,0.2993
CZ-6815,0.3527,0.3752,0.4791
CZ-1815,0.3724,0.2859,0.3952
CZ-5676,0.382,0.4507,0.5029
CZ-7671,0.2877,0.2632,0.4825
CZ-9205,0.2775,0.3541,0.7107
CZ-5105,0.4502,0.2821,0.5217
CZ-9094,0.4467,0.278,0.305
CZ-6764,0.4489,0.2762,0.542
CZ-8321,0.2559,0.3518,0.4496
CZ-7182,0.348,0.3834,0.4346
CZ-9442,0.3093,0.4374,0.5577
CZ-2075,0.4834,0.2748,0.3879
CZ-8367,0.5082,0.3328,0.5437
CZ-5138,0.324,0.2667,0.421
CZ-1186,0.4504,0.3462,0.3866
CZ-6761,0.2888,0.2724,0.4499
CZ-4747,0.3325,0.4075,0.4425
CZ-5885,0.2916,0.5094,0.6594
CZ-9919,0.3351,0.3097,0.5847
CZ-5738,0.4524,0.1089,0.6652
CZ-5424,0.5231,0.2192,0.7024
CZ-7306,0.3108,0.4253,0.3958
CZ-4520,0.4126,0.3405,0.4851
CZ-1191,0.4604,0.3018,0.3155
CZ-1194,0.5359,0.3399,0.3316
CZ-3123,0.433,0.3289,0.3925
CZ-4218,0.3265,0.4195,0.386
CZ-3319,0.4376,0.3623,0.34
CZ-8168,0.3461,0.4379,0.4873
CZ-2714,0.5428,0.2859,0.276
CZ-6241,0.3699,0.3814,0.5957
CZ-8506,0.4556,0.2587,0.3485
CZ-7960,0.257,0.2948,0.8792
CZ-6064,0.37,0.4455,0.4404
CZ-3323,0.5125,0.2835,0.4434
CZ-9675,0.4331,0.3545,0.3127
CZ-6484,0.3832,0.3149,0.6938
CZ-5191,0.5308,0.2138,0.5614
CZ-4932,0.5062,0.269,0.473
CZ-1880,0.3467,0.4309,0.3428
CZ-1045,0.4134,0.3404,0.5017
CZ-4445,0.3969,0.164,0.3487
CZ-7534,0.4397,0.2709,0.6408
CZ-2375,0.3502,0.4575,0.6
CZ-7262,0.3233,0.3059,0.5257
CZ-9829,0.5238,0.1188,0.1376
CZ-9806,0.5272,0.4133,0.3106
CZ-9899,0.503,0.3237,0.5213
CZ-3034,0.5435,0.2514,0.5673
CZ-8022,0.4735,0.2482,0.5842
CZ-5646,0.4794,0.3628,0.2576
CZ-5142,0.4788,0.233,0.4851
CZ-9721,0.3942,0.3936,0.6063
CZ-4811,0.3869,0.3473,0.2885
CZ-1646,0.3221,0.343,0.5138
CZ-6710,0.4434,0.2986,0.4966
CZ-9821,0.3368,0.305,0.4725
CZ-5688,0.3273,0.4054,0.2903
CZ-3896,0.4258,0.223,0.4321
CZ-6189,0.373,0.1783,0.4541
CZ-2502,0.3157,0.3745,0.4997
CZ-8073,0.4948,0.3221,0.3746
CZ-5446,0.5082,0.306,0.3834
CZ-3607,0.3003,0.3625,0.5191
CZ-6301,0.2523,0.3187,0.5971
CZ-2179,0.3508,0.3777,0.4661
CZ-8095,0.4893,0.2696,0.3954
CZ-2805,0.5018,0.2305,0.4503
CZ-3115,0.2915,0.3076,0.2971
CZ-9098,0.4823,0.437,0.5047
CZ-2000,0.2847,0.1958,0.5304
CZ-6045,0.367,0.3499,0.5006
CZ-7732,0.5496,0.1208,0.5345
CZ-6562,0.3078,0.319,0.2864
CZ-6077,0.2962,0.2965,0.2887
CZ-1469,0.3768,0.1401,0.5246
CZ-7111,0.4359,0.3204,0.4661
CZ-5246,0.5299,0.2306,0.4479
CZ-1755,0.5442,0.0888,0.366
CZ-6458,0.2709,0.4059,0.6159
CZ-7719,0.2914,0.4474,0.6395
CZ-1635,0.4872,0.393,0.5034
CZ-9083,0.3312,0.3494,0.4796
CZ-2283,0.5155,0.269,0.1806
CZ-2416,0.449,0.3915,0.5537
CZ-7965,0.2836,0.4695,0.6775
CZ-6878,0.4998,0.3608,0.5174
CZ-3706,0.3029,0.2538,0.4172
CZ-7555,0.377,0.323,0.5725
CZ-2139,0.4157,0.3305,0.5787
CZ-6274,0.4002,0.1552,0.669
CZ-4733,0.4558,0.3208,0.3534
CZ-6201,0.4458,0.4681,0.4356
CZ-8896,0.5476,0.3069,0.5097
CZ-6797,0.5498,0.3729,0.426
CZ-4895,0.4049,0.3132,0.3458
CZ-1997,0.2786,0.3306,0.5828
CZ-1364,0.4684,0.31,0.5227
CZ-1216,0.543,0.1918,0.4325
CZ-2448,0.3455,0.2392,0.5312
CZ-7234,0.3884,0.4048,0.4558
CZ-3799,0.3774,0.4166,0.6689
CZ-6584,0.2654,0.2611,0.4304
CZ-4864,0.4517,0.3619,0.3898
CZ-4857,0.356,0.3062,0.5018
CZ-1387,0.4862,0.3013,0.5513
CZ-7660,0.4996,0.3069,0.2605
CZ-3726,0.4964,0.3506,0.2843
CZ-9775,0.375,0.3141,0.248
CZ-4374,0.3465,0.4289,0.5084
CZ-5634,0.4746,0.3024,0.3165
CZ-8116,0.4904,0.3228,0.3979
CZ-4763,0.3974,0.2341,0.5625
CZ-6042,0.5179,0.4373,0.3555
CZ-9066,0.2932,0.3696,0.5546
CZ-1449,0.5137,0.3229,0.3983
CZ-1554,0.2788,0.2077,0.6135
CZ-4578,0.2961,0.2654,0.5827
CZ-4983,0.4102,0.396,0.3947
CZ-8406,0.2703,0.3619,0.5163
CZ-8074,0.2658,0.1871,0.6636
CZ-6260,0.2502,0.428,0.5921
CZ-2514,0.3809,0.2622,0.3224
CZ-5453,0.4824,0.3882,0.5261
CZ-8674,0.2605,0.3348,0.4105
CZ-6675,0.4457,0.3027,0.6323
CZ-9093,0.4969,0.3652,0.5642
CZ-5644,0.3004,0.2581,0.5586
CZ-5227,0.2941,0.2524,0.5454
CZ-3494,0.5082,0.2518,0.4115
CZ-6325,0.4969,0.3371,0.5227
CZ-2734,0.4117,0.19,0.4326
CZ-2626,0.4958,0.1378,0.47
CZ-2991,0.2778,0.4025,0.6379
CZ-3365,0.3683,0.2613,0.4279
CZ-5687,0.4713,0.2472,0.3781
CZ-8652,0.3272,0.1733,0.3692
CZ-7901,0.4757,0.223,0.3225
CZ-7904,0.4013,0.299,0.2621
CZ-2453,0.4751,0.3519,0.538
CZ-9377,0.3894,0.2415,0.7035
CZ-4084,0.3604,0.4445,0.6697
CZ-7088,0.3158,0.2705,0.3223
CZ-4779,0.3125,0.2716,0.6057
CZ-5197,0.4754,0.4004,0.621
CZ-9468,0.2857,0.3512,0.4752
CZ-2018,0.2758,0.2931,0.5463
CZ-5049,0.3029,0.3167,0.2818
CZ-4058,0.3026,0.4375,0.5549
CZ-1710,0.4969,0.3882,0.3137
CZ-3775,0.3696,0.2438,0.5187
CZ-2192,0.5471,0.2525,0.2329
CZ-1070,0.2912,0.3399,0.5929
CZ-9254,0.4461,0.2073,0.5856
CZ-2213,0.3846,0.3002,0.3945
CZ-5706,0.3679,0.3101,0.3591
CZ-2081,0.5125,0.3575,0.176
CZ-3366,0.5427,0.3538,0.3901
CZ-6770,0.5119,0.2401,0.3652
CZ-1898,0.3077,0.3106,0.3346
CZ-6366,0.3162,0.3783,0.5715
CZ-2223,0.4468,0.2391,0.4083
CZ-7444,0.3367,0.3661,0.3795
CZ-1584,0.4704,0.2718,0.3859
CZ-3686,0.4199,0.2165,0.6022
CZ-5598,0.4153,0.2189,0.5479
CZ-6333,0.4986,0.3862,0.425
CZ-4879,0.4632,0.2685,0.5298
CZ-4728,0.258,0.4738,0.4023
CZ-7962,0.2648,0.2995,0.5427
CZ-8598,0.4305,0.3142,0.4869
CZ-7037,0.3959,0.4927,0.4274
CZ-8242,0.3281,0.237,0.5645
CZ-2966,0.3756,0.1555,0.3986
CZ-9286,0.4774,0.3797,0.5107
CZ-7360,0.498,0.2045,0.5071
CZ-1664,0.4184,0.2928,0.1242
CZ-7442,0.3656,0.2634,0.6393
CZ-9055,0.3312,0.3421,0.1452
CZ-6330,0.4066,0.222,0.4053
CZ-1788,0.3444,0.3023,0.6284
CZ-4458,0.4192,0.3302,0.4358
CZ-7196,0.453,0.2034,0.2838
CZ-5559,0.2698,0.283,0.4054
CZ-3957,0.2503,0.3171,0.6681
CZ-9349,0.3137,0.2116,0.2877
CZ-2325,0.5184,0.2307,0.5678
CZ-4536,0.4439,0.2963,0.457
CZ-9723,0.3016,0.2976,0.3802
CZ-6875,0.5171,0.2432,0.3629
CZ-5752,0.391,0.3011,0.3637
CZ-8736,0.3928,0.2497,0.589
CZ-2492,0.5307,0.3161,0.515
CZ-9783,0.2678,0.4545,0.3312
CZ-3001,0.3146,0.2885,0.4695
CZ-6132,0.4257,0.3311,0.3676
CZ-3817,0.3086,0.3082,0.6756
CZ-8712,0.4539,0.3131,0.2974
CZ-6601,0.3142,0.451,0.7105
CZ-5358,0.2797,0.3768,0.5285
CZ-2201,0.3121,0.1845,0.3795
CZ-9369,0.3768,0.3433,0.4105
CZ-9155,0.3028,0.4278,0.4266
CZ-8861,0.2904,0.3152,0.3751
CZ-9178,0.5081,0.3472,0.448
CZ-1386,0.3461,0.261,0.3573
CZ-4467,0.3582,0.1937,0.2379
CZ-4768,0.2666,0.3513,0.4925
CZ-7048,0.3572,0.1723,0.2836
CZ-5047,0.3294,0.302,0.4214
CZ-6631,0.4331,0.393,0.359
CZ-3839,0.3116,0.1737,0.4146
CZ-4964,0.5165,0.1627,0.6732
CZ-5964,0.5289,0.1788,0.4346
CZ-6524,0.2799,0.3309,0.5619
CZ-1435,0.2822,0.3061,0.3183
CZ-8718,0.2846,0.4466,0.452
CZ-2803,0.4359,0.3656,0.4928
CZ-5081,0.2866,0.3736,0.4067
CZ-4422,0.5057,0.2799,0.5466
CZ-6706,0.4763,0.3086,0.3056
CZ-5648,0.4959,0.2023,0.4073
CZ-8592,0.4078,0.3662,0.4084
CZ-5651,0.549,0.1663,0.4391
CZ-5932,0.2633,0.4079,0.4626
CZ-7683,0.3704,0.4038,0.4619
CZ-8315,0.3472,0.3327,0.4758
CZ-6383,0.5346,0.2455,0.3373
CZ-3075,0.4231,0.3251,0.5305
CZ-6284,0.4919,0.05,0.472
CZ-3211,0.3011,0.3538,0.5129
CZ-5731,0.5436,0.2479,0.37
CZ-1155,0.3996,0.2961,0.5778
CZ-7861,0.3981,0.3571,0.4545
CZ-2976,0.5413,0.2516,0.3859
CZ-6593,0.3642,0.2195,0.5096
CZ-7466,0.3693,0.2979,0.6985
CZ-7907,0.4254,0.2978,0.3105
CZ-5654,0.2884,0.3427,0.6212
CZ-2578,0.3463,0.3291,0.2774
CZ-9779,0.308,0.4108,0.5467
CZ-4419,0.281,0.2488,0.721
CZ-8604,0.5098,0.2811,0.4945
CZ-2230,0.4268,0.3952,0.4912
CZ-6278,0.3576,0.174,0.4326
CZ-4789,0.3726,0.3226,0.4972
CZ-8651,0.3795,0.2593,0.4604
CZ-4986,0.4399,0.2584,0.3709
CZ-5203,0.528,0.1892,0.3934
CZ-8841,0.5298,0.2475,0.4513
CZ-1811,0.3674,0.4571,0.4036
CZ-9414,0.3488,0.2142,0.4068
CZ-1804,0.3853,0.2108,0.3249
CZ-2305,0.4204,0.1897,0.5203
CZ-2802,0.3885,0.4416,0.5522
CZ-2061,0.4476,0.2487,0.4898
CZ-6311,0.4163,0.2931,0.591
CZ-7593,0.3462,0.2839,0.5151
CZ-2872,0.3537,0.2383,0.5485
CZ-2406,0.3636,0.2921,0.5338
CZ-4112,0.2784,0.5331,0.5221
CZ-9111,0.2998,0.4414,0.4604
CZ-3917,0.4669,0.2117,0.7196
CZ-4645,0.3667,0.3618,0.4417
CZ-2526,0.3144,0.2592,0.4381
CZ-1924,0.4188,0.1523,0.5262
CZ-9164,0.4767,0.3586,0.48
CZ-4001,0.3272,0.4146,0.344
CZ-4432,0.498,0.3543,0.5755
CZ-5251,0.5283,0.2239,0.4168
CZ-5745,0.4292,0.2779,0.3364
CZ-7759,0.4507,0.3448,0.6034
CZ-9278,0.2658,0.3716,0.6135
CZ-8714,0.5337,0.2284,0.2741
CZ-7243,0.3677,0.1802,0.7088
CZ-7663,0.5272,0.271,0.5076
CZ-5929,0.4237,0.3792,0.4708
CZ-4024,0.2514,0.2488,0.7352
CZ-4806,0.2616,0.3926,0.5593
CZ-7099,0.4541,0.3103,0.4559
CZ-4671,0.4188,0.3544,0.3949
CZ-1120,0.258,0.4124,0.6115
CZ-5952,0.473,0.2225,0.5085
CZ-6459,0.5056,0.139,0.4394
CZ-9902,0.3989,0.2576,0.3877
CZ-7956,0.3897,0.3742,0.5019
CZ-6407,0.2516,0.3011,0.5359
CZ-7451,0.486,0.2187,0.2859
CZ-2371,0.3492,0.1695,0.3267
CZ-8101,0.5136,0.4061,0.5021
CZ-3434,0.3619,0.3775,0.1858
CZ-1783,0.4195,0.3557,0.4984
CZ-2576,0.3311,0.3981,0.4536
CZ-5627,0.2982,0.3767,0.6818
CZ-3704,0.4825,0.2557,0.3881
CZ-5393,0.399,0.2872,0.5616
CZ-7831,0.4109,0.2625,0.4298
CZ-6814,0.5396,0.4689,0.437
CZ-5281,0.5391,0.3028,0.512
CZ-5233,0.5067,0.2309,0.3817
CZ-2883,0.3063,0.3654,0.6409
CZ-8172,0.4283,0.2106,0.3509
CZ-3922,0.5134,0.3863,0.4697
CZ-9555,0.3623,0.2584,0.6085
CZ-6039,0.2803,0.376,0.6115
CZ-7542,0.4933,0.3573,0.6728
CZ-2617,0.3945,0.3324,0.3927
CZ-3267,0.4193,0.3018,0.3084
CZ-4186,0.5446,0.2575,0.3019
CZ-9363,0.4322,0.2858,0.5477
CZ-1321,0.3775,0.2606,0.5512
CZ-3588,0.361,0.2757,0.5107
CZ-4621,0.3753,0.4258,0.3576
CZ-3752,0.2855,0.3257,0.6221
CZ-4910,0.4884,0.2106,0.2979
CZ-4948,0.5013,0.2283,0.5785
CZ-1706,0.3353,0.4074,0.8521
CZ-7473,0.3411,0.3717,0.5507
CZ-4568,0.5123,0.3111,0.5048
CZ-9773,0.2572,0.3222,0.4828
CZ-3401,0.4061,0.344,0.2622
CZ-1733,0.3891,0.2518,0.4143
CZ-3923,0.457,0.2621,0.3269
CZ-9735,0.299,0.4079,0.3508
CZ-6555,0.4505,0.3548,0.6675
CZ-9179,0.363,0.2325,0.5303
CZ-7548,0.4356,0.2209,0.5126
CZ-4729,0.262,0.3501,0.5029
CZ-2057,0.3885,0.4415,0.4661
CZ-1529,0.4067,0.1448,0.5949
CZ-3469,0.3143,0.348,0.5141
CZ-2370,0.2919,0.2224,0.5911
CZ-8916,0.3065,0.2773,0.4977
CZ-8195,0.3532,0.2849,0.4606
CZ-3864,0.279,0.3026,0.364
CZ-4977,0.5342,0.217,0.1883
CZ-2240,0.3715,0.3091,0.4626
CZ-3082,0.4927,0.2294,0.4498
CZ-9925,0.5423,0.1403,0.2679
CZ-1763,0.2742,0.4001,0.5307
CZ-7853,0.4455,0.3466,0.4693
CZ-3641,0.5114,0.334,0.1765
CZ-5178,0.4403,0.1647,0.3553
CZ-8675,0.3787,0.3303,0.5398
CZ-1943,0.3793,0.3603,0.5371
CZ-9049,0.2608,0.2593,0.402
CZ-4767,0.4104,0.2976,0.4967
CZ-9843,0.5481,0.2463,0.5425
